gamma,n_0,A_V_max,M_gas,r_out
0.0,1.0,0.3723038669202102,2709836090.7978516,2969.183015992889
0.02247191011235955,1.0,0.33830940138657056,2907597755.045037,3251.0626272019053
0.0449438202247191,1.0,0.3069263565582558,3137935085.3014083,3573.7417346585094
0.06741573033707865,1.0,0.2780309899989263,3406471769.498267,3943.9779473488993
0.0898876404494382,1.0,0.2514874613624533,3720167412.44001,4369.936456794493
0.11235955056179775,1.0,0.22699727409497297,4078702333.6236115,4857.861055138572
0.1348314606741573,1.0,0.20314671820883148,4396585829.113766,5379.165915706182
0.15730337078651685,1.0,0.18026281538183084,4655268599.091568,5930.362821547333
0.1797752808988764,1.0,0.15886943925816438,4863426806.188473,6518.574687788951
0.20224719101123595,1.0,0.1392126028449019,5026637409.20003,7149.714596517445
0.2247191011235955,1.0,0.121397662358754,5151710781.439056,7830.762540952056
0.24719101123595505,1.0,0.1054298442471169,5246132948.318045,8570.021020537637
0.2696629213483146,1.0,0.09125637897221973,5319793478.5289545,9378.794166167516
0.29213483146067415,1.0,0.07431827755601733,4322781510.198546,9476.201084119359
0.3146067415730337,1.0,0.06002221570090288,3390244965.4076247,9449.870938752587
0.33707865168539325,1.0,0.048557829930197464,2662194382.7868986,9426.112714280707
0.3595505617977528,1.0,0.03932037488117654,2086642631.9130592,9394.143997116651
0.38202247191011235,1.0,0.03187158325373675,1632156522.3691294,9353.171266447787
0.4044943820224719,1.0,0.02588716699539996,1279410974.3671572,9318.256761858593
0.42696629213483145,1.0,0.02105826421057754,1002515914.2808689,9280.462063638743
0.449438202247191,1.0,0.01714714570911514,783073349.888937,9229.819849598378
0.47191011235955055,1.0,0.013980261865161823,610126127.2104226,9168.573711881412
0.4943820224719101,1.0,0.011429633915063863,477280502.59866977,9120.38908297151
0.5168539325842696,1.0,0.009350722344771013,370899671.665318,9046.769617786975
0.5393258426966292,1.0,0.00767185011558942,289260871.0444206,8984.760445298149
0.5617977528089888,1.0,0.0063053341472470974,224947654.91987687,8910.973562883973
0.5842696629213483,1.0,0.005188469911155241,173714689.29064497,8810.32508107006
0.6067415730337078,1.0,0.004285728551589786,135069841.00532424,8733.287441520935
0.6292134831460674,1.0,0.0035454685251395304,104245283.15227087,8627.913178076084
0.651685393258427,1.0,0.0029405184357734725,80221276.69899073,8510.774445597332
0.6741573033707865,1.0,0.0024474904490744036,61894469.40172004,8401.918614381066
0.696629213483146,1.0,0.0020398710671627124,47075188.63958471,8240.507961721989
0.7191011235955056,1.0,0.0017084293978910825,36126775.49757583,8110.507921126952
0.7415730337078652,1.0,0.0014334303875004131,27291507.59756762,7924.165843487964
0.7640449438202247,1.0,0.0012085064715664357,20738867.07968808,7758.491213513838
0.7865168539325842,1.0,0.001022956336714319,15727112.720170677,7585.5618436944615
0.8089887640449438,1.0,0.0008686331260636718,11779653.085723968,7370.865541917451
0.8314606741573034,1.0,0.0007395570512711341,8631102.199901847,7085.387523873394
0.8539325842696629,1.0,0.0006334412762030015,6384925.955758807,6835.36789019568
0.8764044943820224,1.0,0.0005448960235746083,4676076.526470273,6557.688849172025
0.898876404494382,1.0,0.00047052430766265127,3356020.711908393,6225.149496159806
0.9213483146067416,1.0,0.0004081646189153641,2371956.160879683,5859.092685920407
0.9438202247191011,1.0,0.0003556605328976784,1641700.0832842984,5451.131353705626
0.9662921348314606,1.0,0.0003123981507845384,1176887.5692917777,5151.386695466807
0.9887640449438202,1.0,0.0002747198426326716,776191.2175131819,4664.264805303376
1.0112359550561798,1.0,0.00024314419728151674,514085.54102085123,4222.41451871966
1.0337078651685392,1.0,0.00021620335757827484,330242.77403943933,3754.686448870412
1.0561797752808988,1.0,0.00019354544509132777,215943.43632115447,3360.0331534374977
1.0786516853932584,1.0,0.00017338135663505033,123348.81641309267,2795.098903255905
1.101123595505618,1.0,0.00015691991291244878,79479.72801749985,2466.5117740408946
1.1235955056179776,1.0,0.00014211719922714198,44317.77392333096,2008.9423430423476
1.146067415730337,1.0,0.00012955327289749282,25552.187041391608,1657.6545388705674
1.1685393258426966,1.0,0.00011779018670872049,11153.397194473177,1169.338297483451
1.1910112359550562,1.0,0.00010883307712527528,7300.443872221708,1022.9532191150433
1.2134831460674156,1.0,0.00010055,4067.665208041747,814.9299860363776
1.2359550561797752,1.0,9.299695900844078e-05,2000.5799591945224,601.3312839780116
1.2584269662921348,1.0,8.652066674612571e-05,1073.8938763383278,462.88851301215584
1.2808988764044944,1.0,8.037175138463189e-05,467.2088009101221,313.1431245843425
1.303370786516854,1.0,7.546976501846797e-05,282.07749619395355,254.29975223137754
1.3258426966292134,1.0,7.074552407989705e-05,141.26440790976892,183.6452636015246
1.348314606741573,1.0,6.60162900329463e-05,54.20264187517118,111.86325318149406
1.3707865168539326,1.0,6.248822657722413e-05,33.73709334426278,90.44073474258253
1.393258426966292,1.0,5.935070353606502e-05,22.249714694554687,75.34403084116718
1.4157303370786516,1.0,5.62858136196473e-05,13.051609364321898,57.986101535700676
1.4382022471910112,1.0,5.375033434967439e-05,9.325870767846986,50.2497205602074
1.4606741573033708,1.0,5.055519086054591e-05,3.866019409713228,30.445541952945632
1.4831460674157304,1.0,4.895841750266061e-05,3.967161569204553,33.02455712917651
1.5056179775280898,1.0,4.6761305022927674e-05,2.5280877423284482,26.10803059879338
1.5280898876404494,1.0,4.40135788176115e-05,1.0740769455671684,15.564156223440435
1.550561797752809,1.0,4.307087077488156e-05,1.2846433591556454,18.628803477407516
1.5730337078651684,1.0,4.08244050318242e-05,0.650198722421634,12.286417762088968
1.595505617977528,1.0,3.929352387921016e-05,0.48744711341212965,10.571845461802193
1.6179775280898876,1.0,3.822021912619612e-05,0.45756448680809836,10.643911224957161
1.6404494382022472,1.0,3.707674530540641e-05,0.3982319296747516,10.139925720999544
1.6629213483146068,1.0,3.5421433925601104e-05,0.24502327526061143,7.45342988961615
1.6853932584269662,1.0,3.4081180353144956e-05,0.1784541481054079,6.16216553044302
1.7078651685393258,1.0,3.356439815406792e-05,0.20075646503976113,7.0599453380272355
1.7303370786516854,1.0,3.160389463391968e-05,0.10049953590771278,4.334438899201295
1.7528089887640448,1.0,3.160389463391968e-05,0.13924916854947006,5.836544569451093
1.7752808988764044,1.0,3.0573063926726976e-05,0.10887583024345977,5.020461036595493
1.797752808988764,1.0,2.926994583980243e-05,0.07316607489441328,3.8027666830441054
1.8202247191011236,1.0,2.8480811166754316e-05,0.06360868961359799,3.52882989953006
1.8426966292134832,1.0,2.7966827752877878e-05,0.06260694472282188,3.6213297508556654
1.8651685393258426,1.0,2.7443438783362984e-05,0.06091146271220285,3.682676760382342
1.8876404494382022,1.0,2.6386208510755704e-05,0.04438348303580515,2.923736385296229
1.9101123595505618,1.0,2.5873271874818293e-05,0.04216027021519908,2.9014635035234426
1.9325842696629212,1.0,2.536059157902878e-05,0.039727824940784785,2.8577983447027955
1.9550561797752808,1.0,2.4772791793018466e-05,0.03571752631878224,2.6972309562649315
1.9775280898876404,1.0,2.418499200700815e-05,0.0318459121250069,2.5217226018498136
2.0,1.0,2.352089713120501e-05,0.027196119794970695,2.2620675070368246
0.0,1.1114029869356505,0.3937043270874628,2594352757.234267,2825.151764695629
0.02247191011235955,1.1114029869356505,0.3578994803318648,2777403011.593188,3089.2440800031404
0.0449438202247191,1.1114029869356505,0.3248135706724441,2990742125.341245,3391.475793777824
0.06741573033707865,1.1114029869356505,0.29432512220194207,3239417722.02004,3738.0616112138187
0.0898876404494382,1.1114029869356505,0.26633596141272237,3531249238.419539,4137.130178453825
0.11235955056179775,1.1114029869356505,0.24062286435535735,3871035655.1395125,4596.60606444484
0.1348314606741573,1.1114029869356505,0.2162484782838845,4217154280.6928554,5106.14307199958
0.15730337078651685,1.1114029869356505,0.1925599967646271,4504396454.408383,5644.102077856678
0.1797752808988764,1.1114029869356505,0.17014343282786726,4734283453.451518,6214.678552772967
0.20224719101123595,1.1114029869356505,0.14947449800909135,4924214956.436084,6829.226476016475
0.2247191011235955,1.1114029869356505,0.1305720618639864,5065484334.751594,7487.14066327238
