wave,flux,err,sky,path_corr,npix,norm_corr,flux_sum,profile_sum,var_sum
0.58,,,,,0.0,,0.0,0.0,0.0
0.5836851085753291,,,,,0.0,,0.0,0.0,0.0
0.5874378771811705,,,,,0.0,,0.0,0.0,0.0
0.591260215571612,,,,,0.0,,0.0,0.0,0.0
0.5951542612478814,,,,,0.0,,0.0,0.0,0.0
0.5991219350103587,,,,,0.0,,0.0,0.0,0.0
0.6031652486825945,-0.004517095147627054,0.009593075266774484,0.004839360993257091,1.3842368113755859,42.0,0.987318060033835,-0.06349742988161136,8.489520986309902,0.013972357676187552
0.6072866429848921,0.025252972117772738,0.011409764058421834,-0.007069112511428992,1.3331475898403602,39.0,0.9899460042091145,0.20147088929163118,7.205115364240013,0.01704398881711737
0.6114883288153422,0.014128467131166217,0.009289934551194335,-0.011522685647658742,1.3163318745393302,42.0,0.9914766956414534,0.11327909215791876,7.776926533251611,0.014993470247491786
0.6157725852112719,-0.004077480586404522,0.009263878591785932,-0.0014303558984376452,1.3165117797597647,48.0,0.994021598697389,0.03092628415982359,8.91458885721853,0.01734677653805502
0.6201417925338175,-0.007565127861883787,0.01026714292573103,0.002677593783052078,1.3366848099847435,42.0,0.9967117662165695,0.015813114891278793,7.253649065673778,0.013164351104097994
0.6245986421722293,-0.01693511092784451,0.009207894259130519,0.005125425424475819,1.3128764774823385,39.0,0.9977108969759281,-0.253322421630502,7.906533074045573,0.013844113228612724
0.6291457664413497,-0.01174485899413413,0.008532771116089573,0.0034893898497175982,1.3286037248167704,48.0,0.9986055971643109,-0.08269541416245219,8.927674611493593,0.016989489039318965
0.6337858404237796,0.004435672401132106,0.008971920184112813,0.006533433753050884,1.2381043379487295,44.0,1.002598548534008,0.25146243218444236,8.561731340102604,0.01532549556940451
0.6385216506886465,-0.004914718450565529,0.00969141408849567,-0.0006847923612886057,1.2761240521766875,45.0,1.002767525602548,0.08886830107784896,7.222920853768372,0.016038876674160055
0.643356097508133,0.0005857534064542976,0.010775987698933055,0.0024666369927262323,0.9355574810772702,45.0,1.0142838611535618,-0.12520045402912144,8.906569017712084,0.016138060455863933
0.6482921961234418,-0.012427503189965331,0.007945040205539917,-0.0013886056804504959,1.3313598848737174,45.0,1.0055701601808027,-0.03791212225798203,8.076841847627318,0.011283203602093547
0.6533331269727229,0.002594550382295028,0.007605734008330227,0.0014079790737788343,1.3352764413515974,42.0,1.0063077322937082,0.02777722931504561,8.427650615951812,0.009975527964386523
0.6584822006004801,0.009995920414661442,0.00928509597122728,-0.0031981346875792223,1.3149841928701875,45.0,1.0065755283855105,0.18644739427500118,7.179982694048678,0.010609138547566526
0.6637427687884045,-0.00749068783720082,0.007791084162744717,0.0003280060535747703,1.3282766846684522,39.0,1.0068548345375201,-0.05886320866075007,8.563638071037742,0.009419275738315655
0.6691183091358435,0.002989346100134613,0.008917178731631059,-0.0021515915380266866,1.3140208323575284,39.0,1.0069583036147016,0.0055829681161496236,6.1640491472007275,0.008981062153022563
0.6746124267713053,-0.004191918146211473,0.006806901996156477,-0.0021269027644969744,1.3445889013548555,36.0,1.0066922602155444,-0.0748219063780658,8.532418753081092,0.006903885831196204
0.6802288545553616,-0.0021603936073939967,0.007747994889848127,0.0023810969139277014,1.3580461761093696,42.0,1.0061244357317738,-0.1115070215221646,6.8558837336363965,0.007692273657211877
0.6859714560919713,-0.01935819497598065,0.006625797413083679,0.005994806683218565,1.3234378678296264,39.0,1.006120095689393,-0.1279060223447205,8.079711219872111,0.008664546259127591
0.691844227959342,-0.01677799986687842,0.006443689897671841,0.0022855951538862493,1.3272593262366579,45.0,1.005578546750937,-0.02860239954283255,8.478193854658198,0.007539763473825875
0.6978512983243266,-0.01286712276943576,0.005826906603106827,0.0044479180419210946,1.3514853746810294,47.0,1.0048631777044417,-0.03577460779832142,8.926129405716255,0.007559429175818886
0.7039969298328147,-0.008581277475905457,0.006858030182220077,0.00012191388646579395,1.2621402254514145,44.0,1.0035436774280408,-0.08610084580995665,7.180143219674869,0.00648454209751676
0.7102856085857414,-0.005855473494170697,0.0058256138971555715,0.0017630571542781074,1.3399728547305076,42.0,1.0031316814069635,-0.0383797682948014,8.20805777140313,0.005842905156207321
0.7167219126183257,0.013848914943087784,0.005578821422130064,-0.0013695866617860536,1.2995845402855364,48.0,1.0017391278601402,0.0853629393189666,8.946783934758848,0.006445549056907852
0.7233105291495501,-0.007426485046945022,0.005447964815596354,0.004268386597791428,1.3050358325297862,42.0,1.0011268562156486,0.14112041449059104,8.328366481425467,0.005136079950452139
0.7300562801462376,0.006724834463019416,0.006377778058232205,-7.528790926458202e-05,1.332878933322427,36.0,1.0003140835240134,0.05389858155358136,7.178466060588334,0.0044959269937830445
0.7369641201458388,-0.008038945669254971,0.005689288369418829,0.0010285672633768496,1.3126586279304666,48.0,0.9996829201433961,-0.08581860323366672,8.945037739198678,0.00649339508728729
0.7440391997921404,-0.00818061901317193,0.005226178806769318,0.0016309398691654897,1.3358058993973287,41.0,0.9983322207630709,-0.09248025833890693,7.899309105227984,0.004737728890060331
0.7512868788768211,-0.004184396259933267,0.006063328305589362,0.0007663035933416603,1.325988820945507,42.0,0.9981253430231635,0.04803303682647649,7.186584940355494,0.0047834508040742055
0.7587125091385601,0.01714114790418293,0.00503261905141776,-0.0014180201961572995,1.3255925978349723,44.0,0.9970362002054228,0.2490361279282797,8.922803447954925,0.005205773819943201
0.7663215926443134,0.015750639826428308,0.005320280394531951,-0.0003604057883999054,1.3278849828005859,45.0,0.9963394664770234,0.16753736891068874,8.253198963413718,0.004928084760276904
0.774119919436049,-0.012033284210458042,0.005035484194326798,0.0039076106281574095,1.3152760930651601,45.0,0.9957547839868904,-0.13033090550307008,8.368266904445894,0.004936532362844355
0.7821132007259336,-0.0039853852975826705,0.005987816957762139,-0.00043905672948794445,1.2737960905379666,39.0,0.9951638668675971,-0.09428676306804241,7.201167038464042,0.004199459364163089
0.7903073872275499,0.006813418583184393,0.005187080611492086,-0.002038189368022343,1.3140645082830011,48.0,0.9949166155694502,-0.012066665220828983,8.952093494404254,0.005526149107915125
0.7987084651175618,-0.007324630840583911,0.005059473977031616,-0.0004711104721507901,1.36861717304394,42.0,0.9945879107030954,-0.05870123250908417,8.35264324662534,0.021274553195050405
0.8073225394191289,0.007756825374156625,0.00509927880683168,-0.003009966502848312,1.322545818444636,42.0,0.9943839661852125,0.18886617565168623,8.225878792304856,0.005563958045820706
0.8161557536067607,-0.00383095405190984,0.005074197190759593,0.005716412912618423,1.3430004373494322,48.0,0.9941827319667731,0.04113304178329483,8.953904124790803,0.005493125112594626
0.8252143502760124,0.004228480302348579,0.0066607954973127515,0.006239271498356056,1.3404524099439226,41.0,0.9942805988750832,-0.02300292187309431,7.201000775153047,0.004881835343108493
0.834504545011099,-0.010857106479425283,0.004953673150226355,0.0029859346660562587,1.309860385452884,42.0,0.9943098918171073,-0.2521234427392588,7.90437619127936,0.0045724091967805055
