wave,flux,err,path_corr
0.58,,inf,1.28
0.5836851085753291,,inf,1.28
0.5874378771811705,,inf,1.28
0.591260215571612,,inf,1.28
0.5951542612478814,,inf,1.28
0.5991219350103587,,inf,1.28
0.6031652486825945,,0.015416562948052362,1.28
0.6072866429848921,,0.01399089040930812,1.27
0.6114883288153422,0.002609668176167152,0.015281483806215053,1.27
0.6157725852112719,0.00198300085409361,0.014835536209528419,1.26
0.6201417925338175,-0.009720070224662843,0.014491095704813562,1.26
0.6245986421722293,0.015428686550250965,0.014838241982345343,1.25
0.6291457664413497,0.014997015200016681,0.013144734640443712,1.24
0.6337858404237796,0.00828043401572425,0.012104319152149665,1.24
0.6385216506886465,0.005021587247854731,0.011905661063320652,1.23
0.643356097508133,-0.0025117065177966223,0.012041704332894223,1.22
0.6482921961234418,0.0011279303986784126,0.011905706653508711,1.22
0.6533331269727229,7.242634333783473e-05,0.011389943320466788,1.21
0.6584822006004801,-0.0019179936960040651,0.012305143683225174,1.21
0.6637427687884045,0.03112823335405297,0.011512190382845996,1.21
0.6691183091358435,0.03779430465263278,0.011755141233900085,1.21
0.6746124267713053,0.01682250637894527,0.010520079305001763,1.21
0.6802288545553616,0.027630007327742404,0.009934881914413553,1.21
0.6859714560919713,0.0293364052006838,0.009844714548831008,1.20
0.691844227959342,0.03485007405210463,0.010134798182094604,1.20
0.6978512983243266,0.03736611623190097,0.009353913801059925,1.20
0.7039969298328147,0.05221469208595649,0.009525678242231226,1.20
0.7102856085857414,0.057273540193617974,0.009634070274196832,1.19
0.7167219126183257,0.07643670732722885,0.008898824009021788,1.19
0.7233105291495501,0.06406468043974331,0.00848277896487223,1.18
0.7300562801462376,0.06552620652144989,0.008560414673361034,1.17
0.7369641201458388,0.07134773313049068,0.009018627120885905,1.17
0.7440391997921404,0.06913746300525042,0.008163516849211433,1.16
0.7512868788768211,0.07613253160467622,0.0083952114296722,1.16
0.7587125091385601,0.07906544651553096,0.008903706454857902,1.15
0.7663215926443134,0.0765517022971858,0.008378222989004654,1.15
0.774119919436049,0.08744361562795223,0.008465393972683626,1.14
0.7821132007259336,0.08011288429067878,0.007743725490662246,1.14
0.7903073872275499,0.08388896481164662,0.008406601276830782,1.14
0.7987084651175618,0.09796823081874234,0.007945995185267547,1.13
0.8073225394191289,0.12898405152646936,0.007929216420348629,1.13
0.8161557536067607,0.154144581447684,0.00817573650754499,1.13
0.8252143502760124,0.11948832372836744,0.007882994379729832,1.12
0.834504545011099,0.11768546527873777,0.0080748997782929,1.12
0.8440326001886391,0.1505697025337682,0.00827252668964225,1.12
0.8538047314180898,0.14565371511574407,0.008537191918899662,1.12
0.863827101018897,0.10654589621531652,0.008103358417531034,1.12
0.8741057900388345,0.10388944450723231,0.008242047906309113,1.12
0.8846467458414128,0.09837692846771914,0.008112509478574363,1.11
0.8954557180203407,0.10679567519419698,0.008852837056727236,1.11
0.9065382439315256,0.13112144317507057,0.008665830944905533,1.11
0.917899600133022,0.12946084693650106,0.00855740351490819,1.11
