0.7009759614937343, 8219900905.406991
0.8976871324473142, 16784356732.987293
1.1470182092286407, 18431701921.83838
1.4043033682097659, 24986926168.174614
1.4922037429090969, 24986926168.174614
1.6253148373118644, 22227310294.783344
1.8392824947608446, 18431701921.83838
1.976507367364366, 30487155059.692326
2.0908000412787175, 39904007959.39676
2.502865431174607, 72481757717.31238
2.7631613784546376, 105407536761.86768
2.9894131287427808, 90531135365.85312
3.3526685845338977, 121300549990.79466
3.5465385713612174, 198304075188.62903
3.6190430562520084, 316690710231.7639
4.077101866997119, 106648378480.86447
4.274244632611621, 107903827202.53732
4.371444812611086, 110459235483.88145
4.624226120058774, 124173223166.66127
4.81523167886007, 114406265500.53737
9.999999999999988, 83410326675.90184
21.002240386480043, 41329894319.289215
99.9999999999999, 1708160164443.6287
159.99321390768256, 5837148772407.189
447.0855412416624, 93766076357.12137
871.8257408245425, 4798078447.930515
1101.5194941884438, 10885510295.29587
