100.000000 1.000000e-04
150.000000 1.000000e-04
200.000000 1.000000e-04
250.000000 1.000000e-04
300.000000 1.000000e-04
350.000000 1.000000e-04
400.000000 1.000000e-04
450.000000 1.000000e-04
500.000000 1.000000e-04
550.000000 1.000000e-04
600.000000 1.000000e-04
650.000000 1.000000e-04
700.000000 1.000000e-04
750.000000 1.000000e-04
800.000000 1.000000e-04
860.432000 2.883055e-03
860.997000 4.992245e-02
861.562000 4.128240e-02
862.127000 3.012383e-02
862.692000 3.397306e-02
863.257000 5.378705e-02
863.822000 7.411143e-02
864.387000 1.451921e-01
864.952000 1.544320e-01
865.517000 1.308690e-01
866.082000 1.626590e-01
866.647000 1.409286e-01
867.212000 1.004826e-01
867.777000 1.332805e-01
868.342000 1.546188e-01
868.907000 1.134276e-01
869.472000 9.141381e-02
870.037000 8.888650e-02
870.602000 7.254177e-02
871.167000 1.058818e-01
871.732000 8.814483e-02
872.297000 3.773600e-02
872.862000 3.730616e-02
873.427000 3.423520e-02
873.992000 2.810261e-02
874.556000 3.864553e-02
875.121000 1.049726e-01
875.686000 1.087083e-01
876.251000 1.083414e-01
876.816000 8.726048e-02
877.381000 8.242432e-02
877.946000 7.665025e-02
878.511000 7.166837e-02
879.076000 6.574453e-02
879.641000 7.144486e-02
880.206000 7.974543e-02
880.771000 8.994655e-02
881.336000 1.123142e-01
881.901000 1.368071e-01
882.466000 1.516426e-01
883.031000 2.278661e-01
883.596000 2.594753e-01
884.161000 2.315846e-01
884.726000 2.110093e-01
885.291000 2.054083e-01
885.856000 1.491018e-01
886.421000 2.005808e-01
886.986000 2.936818e-01
887.551000 3.349086e-01
888.115000 3.477010e-01
888.680000 3.608537e-01
889.245000 3.337256e-01
889.810000 3.178117e-01
890.375000 3.231883e-01
890.940000 3.613497e-01
891.505000 3.935911e-01
892.070000 3.810980e-01
892.635000 3.561017e-01
893.200000 3.439530e-01
893.765000 3.288714e-01
894.330000 3.200133e-01
894.895000 3.419284e-01
895.460000 3.799133e-01
896.025000 3.850475e-01
896.590000 3.980869e-01
897.155000 3.907030e-01
897.720000 3.522019e-01
898.285000 3.275343e-01
898.850000 3.264783e-01
899.415000 2.980396e-01
899.980000 2.809919e-01
900.545000 2.733173e-01
901.109000 2.545409e-01
901.674000 2.498519e-01
902.239000 2.631593e-01
902.804000 2.725873e-01
903.369000 2.792081e-01
903.934000 2.801447e-01
904.499000 2.915083e-01
905.064000 2.955710e-01
905.629000 3.012571e-01
906.194000 3.165554e-01
906.759000 3.269390e-01
907.324000 3.182755e-01
907.889000 3.113731e-01
908.454000 3.051676e-01
909.019000 2.941419e-01
909.584000 2.765447e-01
910.149000 2.651346e-01
910.714000 2.711242e-01
911.279000 2.866638e-01
911.844000 2.869679e-01
912.409000 2.824986e-01
912.974000 2.974107e-01
913.539000 2.983457e-01
914.104000 2.891249e-01
914.669000 3.002421e-01
915.234000 3.257725e-01
915.798000 3.361863e-01
916.363000 3.412919e-01
916.928000 3.392609e-01
917.493000 3.431613e-01
918.058000 3.595184e-01
918.623000 3.719920e-01
919.188000 3.823847e-01
919.753000 3.938026e-01
920.318000 3.976743e-01
920.883000 3.961385e-01
921.448000 3.905885e-01
922.013000 3.903949e-01
922.578000 4.028110e-01
923.143000 4.239027e-01
923.708000 4.403811e-01
924.273000 4.540184e-01
924.838000 4.676365e-01
925.403000 4.582636e-01
925.968000 4.418012e-01
926.533000 4.282845e-01
927.098000 4.340784e-01
927.663000 4.495011e-01
928.228000 4.851674e-01
928.793000 5.092028e-01
929.357000 5.283576e-01
929.922000 5.445800e-01
930.487000 5.511515e-01
